FASTWEB-fd6deP;TIM_MF920V_97FE;WIW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;CLASSE(Stanza)
-67;-62;-70;-73;-86;-77;1
-69;-60;-70;-68;-76;-71;1
-66;-63;-66;-73;0;-73;1
-65;-61;-66;-72;-83;-75;1
-62;-59;-68;-72;-75;-70;1
-74;-62;-72;-74;-81;-70;1
-65;-63;-72;-86;0;0;1
-71;-61;-70;-75;-76;-73;1
-64;-60;-66;-66;0;-71;1
-57;-58;-60;-70;-84;-67;1
-64;-62;-64;-75;0;-73;1
-61;-68;-60;-85;-79;-79;1
-61;-68;-60;-85;-79;-79;1
-48;-70;-48;-87;-69;-71;1
-50;-75;-50;-77;-68;-71;1
-73;-64;-73;-78;-78;-75;1
-61;-66;-62;-68;-76;-76;1
-63;-62;-64;-70;-73;-70;1
-54;-66;-56;-71;-77;-68;1
-56;-62;-57;-72;-76;-69;1
-49;-74;-49;-80;-71;-84;2
-48;0;-49;-75;-72;-78;2
-43;0;-43;-75;-67;-77;2
-45;-76;-46;-79;-62;-80;2
-47;0;-48;-80;-72;-88;2
-38;0;-39;-82;-75;-86;2
-48;0;-48;0;-67;-88;2
-41;0;-41;-81;-81;-73;2
-48;0;-48;-89;-72;-79;2
-40;0;-41;0;-78;-84;2
-38;0;-38;-79;-68;-80;2
-44;0;-45;-84;-75;-76;2
-51;0;-50;-74;-79;-67;2
-50;0;-50;-75;-86;-86;2
-37;0;-38;-75;-64;-83;2
-28;-78;-28;-80;-64;-81;2
-45;-73;-45;0;-65;-91;2
-40;0;-39;-80;-65;-87;2
-38;0;-39;-88;-69;-79;2
-44;0;-41;-80;-72;-82;2
-70;-59;-69;-88;-74;-89;3
-52;0;-53;-81;-69;-78;3
-55;-70;-54;-74;-63;-72;3
-55;0;-55;-85;-71;-77;3
-57;0;-57;-74;-73;-80;3
-57;0;-58;-76;-71;-79;3
-57;0;-57;-78;0;-80;3
-56;0;-55;-87;-77;-74;3
-53;0;-55;-85;-75;-80;3
-60;0;-55;-82;-67;-78;3
-59;0;-60;-84;-68;-78;3
-57;0;-57;-84;-70;-80;3
-56;0;-55;-84;-60;-77;3
-52;0;-53;-81;-63;-72;3
-53;0;-54;-75;-63;-75;3
-50;-68;-58;-83;-70;-75;3
-51;0;-51;-77;-69;-83;3
-59;-73;-57;-72;-67;-83;3
-50;-72;-50;-81;-61;-76;3
-56;-65;-57;-83;-72;-84;3
;;;;;;                   
